349 271 56.0 
349 272 56.0 
349 273 56.0 
349 274 56.0 
349 275 56.0 
350 271 56.0 
350 272 56.0 
350 273 56.0 
350 274 56.0 
350 275 56.0 
351 271 56.0 
351 272 56.0 
351 273 56.0 
351 274 56.0 
351 275 56.0 
352 271 56.0 
352 272 56.0 
352 273 56.0 
352 274 56.0 
352 275 56.0 
353 271 56.0 
353 272 56.0 
353 273 56.0 
353 274 56.0 
353 275 56.0 
343 302 4.299978538787302 28.0 
343 303 4.299978538787302 28.0 
343 304 4.299978538787302 28.0 
344 302 4.299978538787302 28.0 
344 303 4.299978538787302 28.0 
344 304 4.299978538787302 28.0 
344 305 4.299978538787302 28.0 
344 306 4.299978538787302 28.0 
345 305 4.299978538787302 28.0 
345 306 4.299978538787302 28.0 
345 307 4.299978538787302 28.0 
345 308 4.299978538787302 28.0 
345 309 4.299978538787302 28.0 
346 307 4.299978538787302 28.0 
346 308 4.299978538787302 28.0 
346 309 4.299978538787302 28.0 
346 310 4.299978538787302 28.0 
346 311 4.299978538787302 28.0 
347 309 4.299978538787302 28.0 
347 310 4.299978538787302 28.0 
347 311 4.299978538787302 28.0 
347 312 4.299978538787302 28.0 
347 313 4.299978538787302 28.0 
348 311 4.299978538787302 28.0 
348 312 4.299978538787302 28.0 
348 313 4.299978538787302 28.0 
348 314 4.299978538787302 28.0 
348 315 4.299978538787302 28.0 
349 314 4.299978538787302 28.0 
349 315 4.299978538787302 28.0 
349 316 4.299978538787302 28.0 
349 317 4.299978538787302 28.0 
349 318 4.299978538787302 28.0 
350 316 4.299978538787302 28.0 
350 317 4.299978538787302 28.0 
349 318 3.368391501643678 28.0 
349 319 3.368391501643678 28.0 
350 318 3.368391501643678 28.0 
350 319 3.368391501643678 28.0 
351 318 3.368391501643678 28.0 
351 319 3.368391501643678 28.0 
352 318 3.368391501643678 28.0 
352 319 3.368391501643678 28.0 
353 318 3.368391501643678 28.0 
353 319 3.368391501643678 28.0 
354 319 3.368391501643678 28.0 
354 320 3.368391501643678 28.0 
355 319 3.368391501643678 28.0 
355 320 3.368391501643678 28.0 
356 319 3.368391501643678 28.0 
356 320 3.368391501643678 28.0 
357 319 3.368391501643678 28.0 
357 320 3.368391501643678 28.0 
358 320 3.368391501643678 28.0 
358 321 3.368391501643678 28.0 
359 320 3.368391501643678 28.0 
359 321 3.368391501643678 28.0 
360 320 3.368391501643678 28.0 
360 321 3.368391501643678 28.0 
361 320 3.368391501643678 28.0 
361 321 3.368391501643678 28.0 
362 320 3.368391501643678 28.0 
360 320 2.356194490192345 24.0 
361 319 2.356194490192345 24.0 
361 320 2.356194490192345 24.0 
361 321 2.356194490192345 24.0 
362 318 2.356194490192345 24.0 
362 319 2.356194490192345 24.0 
362 320 2.356194490192345 24.0 
363 317 2.356194490192345 24.0 
363 318 2.356194490192345 24.0 
363 319 2.356194490192345 24.0 
364 316 2.356194490192345 24.0 
364 317 2.356194490192345 24.0 
364 318 2.356194490192345 24.0 
365 315 2.356194490192345 24.0 
365 316 2.356194490192345 24.0 
365 317 2.356194490192345 24.0 
366 314 2.356194490192345 24.0 
366 315 2.356194490192345 24.0 
366 316 2.356194490192345 24.0 
367 313 2.356194490192345 24.0 
367 314 2.356194490192345 24.0 
367 315 2.356194490192345 24.0 
368 312 2.356194490192345 24.0 
368 313 2.356194490192345 24.0 
368 314 2.356194490192345 24.0 
369 312 2.356194490192345 24.0 
369 313 2.356194490192345 24.0 
370 295 1.6295521495106196 24.0 
370 296 1.6295521495106196 24.0 
370 297 1.6295521495106196 24.0 
370 298 1.6295521495106196 24.0 
370 299 1.6295521495106196 24.0 
370 300 1.6295521495106196 24.0 
370 301 1.6295521495106196 24.0 
370 302 1.6295521495106196 24.0 
370 303 1.6295521495106196 24.0 
370 304 1.6295521495106196 24.0 
370 305 1.6295521495106196 24.0 
370 306 1.6295521495106196 24.0 
370 307 1.6295521495106196 24.0 
370 308 1.6295521495106196 24.0 
370 309 1.6295521495106196 24.0 
370 310 1.6295521495106196 24.0 
370 311 1.6295521495106196 24.0 
371 295 1.6295521495106196 24.0 
371 296 1.6295521495106196 24.0 
371 297 1.6295521495106196 24.0 
371 298 1.6295521495106196 24.0 
371 299 1.6295521495106196 24.0 
371 300 1.6295521495106196 24.0 
371 301 1.6295521495106196 24.0 
371 302 1.6295521495106196 24.0 
371 303 1.6295521495106196 24.0 
371 304 1.6295521495106196 24.0 
371 305 1.6295521495106196 24.0 
371 306 1.6295521495106196 24.0 
371 307 1.6295521495106196 24.0 
371 308 1.6295521495106196 24.0 
371 309 1.6295521495106196 24.0 
371 310 1.6295521495106196 24.0 
371 311 1.6295521495106196 24.0 
371 312 1.6295521495106196 24.0 
