347 276 52.0 
347 277 52.0 
347 278 52.0 
347 279 52.0 
347 280 52.0 
348 276 52.0 
348 277 52.0 
348 278 52.0 
348 279 52.0 
348 280 52.0 
349 276 52.0 
349 277 52.0 
349 278 52.0 
349 279 52.0 
349 280 52.0 
350 276 52.0 
350 277 52.0 
350 278 52.0 
350 279 52.0 
350 280 52.0 
351 276 52.0 
351 277 52.0 
351 278 52.0 
351 279 52.0 
351 280 52.0 
351 231 1.2120256565243241 24.0 
351 232 1.2120256565243241 24.0 
351 233 1.2120256565243241 24.0 
352 231 1.2120256565243241 24.0 
352 232 1.2120256565243241 24.0 
352 233 1.2120256565243241 24.0 
352 234 1.2120256565243241 24.0 
352 235 1.2120256565243241 24.0 
352 236 1.2120256565243241 24.0 
353 234 1.2120256565243241 24.0 
353 235 1.2120256565243241 24.0 
353 236 1.2120256565243241 24.0 
353 237 1.2120256565243241 24.0 
353 238 1.2120256565243241 24.0 
353 239 1.2120256565243241 24.0 
354 237 1.2120256565243241 24.0 
354 238 1.2120256565243241 24.0 
354 239 1.2120256565243241 24.0 
354 240 1.2120256565243241 24.0 
354 241 1.2120256565243241 24.0 
355 239 1.2120256565243241 24.0 
355 240 1.2120256565243241 24.0 
355 241 1.2120256565243241 24.0 
355 242 1.2120256565243241 24.0 
355 243 1.2120256565243241 24.0 
355 244 1.2120256565243241 24.0 
356 242 1.2120256565243241 24.0 
356 243 1.2120256565243241 24.0 
356 244 1.2120256565243241 24.0 
356 245 1.2120256565243241 24.0 
356 246 1.2120256565243241 24.0 
356 247 1.2120256565243241 24.0 
357 245 1.2120256565243241 24.0 
357 246 1.2120256565243241 24.0 
343 230 6.158830312632825 24.0 
344 230 6.158830312632825 24.0 
344 231 6.158830312632825 24.0 
344 232 6.158830312632825 24.0 
345 230 6.158830312632825 24.0 
345 231 6.158830312632825 24.0 
345 232 6.158830312632825 24.0 
346 230 6.158830312632825 24.0 
346 231 6.158830312632825 24.0 
346 232 6.158830312632825 24.0 
347 229 6.158830312632825 24.0 
347 230 6.158830312632825 24.0 
347 231 6.158830312632825 24.0 
347 232 6.158830312632825 24.0 
348 229 6.158830312632825 24.0 
348 230 6.158830312632825 24.0 
348 231 6.158830312632825 24.0 
349 229 6.158830312632825 24.0 
349 230 6.158830312632825 24.0 
349 231 6.158830312632825 24.0 
350 229 6.158830312632825 24.0 
350 230 6.158830312632825 24.0 
350 231 6.158830312632825 24.0 
351 230 6.158830312632825 24.0 
351 231 6.158830312632825 24.0 
336 235 5.497787143782138 28.0 
337 234 5.497787143782138 28.0 
337 235 5.497787143782138 28.0 
337 236 5.497787143782138 28.0 
338 233 5.497787143782138 28.0 
338 234 5.497787143782138 28.0 
338 235 5.497787143782138 28.0 
339 232 5.497787143782138 28.0 
339 233 5.497787143782138 28.0 
339 234 5.497787143782138 28.0 
340 231 5.497787143782138 28.0 
340 232 5.497787143782138 28.0 
340 233 5.497787143782138 28.0 
341 230 5.497787143782138 28.0 
341 231 5.497787143782138 28.0 
341 232 5.497787143782138 28.0 
342 229 5.497787143782138 28.0 
342 230 5.497787143782138 28.0 
342 231 5.497787143782138 28.0 
343 229 5.497787143782138 28.0 
343 230 5.497787143782138 28.0 
335 236 4.579837448088016 24.0 
335 237 4.579837448088016 24.0 
335 238 4.579837448088016 24.0 
335 239 4.579837448088016 24.0 
335 240 4.579837448088016 24.0 
335 241 4.579837448088016 24.0 
335 242 4.579837448088016 24.0 
335 243 4.579837448088016 24.0 
336 236 4.579837448088016 24.0 
336 237 4.579837448088016 24.0 
336 238 4.579837448088016 24.0 
336 239 4.579837448088016 24.0 
336 240 4.579837448088016 24.0 
336 241 4.579837448088016 24.0 
336 242 4.579837448088016 24.0 
336 243 4.579837448088016 24.0 
336 244 4.579837448088016 24.0 
336 245 4.579837448088016 24.0 
336 246 4.579837448088016 24.0 
336 247 4.579837448088016 24.0 
336 248 4.579837448088016 24.0 
336 249 4.579837448088016 24.0 
336 250 4.579837448088016 24.0 
336 251 4.579837448088016 24.0 
337 244 4.579837448088016 24.0 
337 245 4.579837448088016 24.0 
337 246 4.579837448088016 24.0 
337 247 4.579837448088016 24.0 
337 248 4.579837448088016 24.0 
337 249 4.579837448088016 24.0 
337 250 4.579837448088016 24.0 
